,id,subnumber,headword,context,,ste,nsm,translation,ref,filename,speaker,1,2,3,chaptertitle,sectiontitle,relatedword,relatedphrase,relatedvalue,functiontags,notes
,9,4,,,"If I don’t think the same, I can say to this person: “I don’t think the same","  {""ste"": ""When someone says to me about something""},{  ""ste"": "":”I think about it like this""},{  ""ste"": ""”""},{  ""ste"": ""If I don’t think the same, I can say to this person: “I don’t think the same""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when someone says to me about something: “I think about it like this”""},{""nsm"": ""if I don't think the same""},{""nsm"": ""I can say to this person: “I don't think the same”""},",,,,,,,,,,,,,,
,9,5,,,”,"  {""ste"": ""When someone says to me about something""},{  ""ste"": "":”I think about it like this""},{  ""ste"": ""”""},{  ""ste"": ""If I don’t think the same, I can say to this person: “I don’t think the same""},{  ""ste"": ""”""}","{""nsm"": ""[people think like this:]""},{""nsm"": ""when someone says to me about something: “I think about it like this”""},{""nsm"": ""if I don't think the same""},{""nsm"": ""I can say to this person: “I don't think the same”""},{""nsm"": """"},",,,,,,,,,,,,,,
,10,1,freedom of speech,,"If I think something about the government, I can say it. The government can’t do something bad to me because of this.","  {""ste"": ""If I think something about the government, I can say it. The government can’t do something bad to me because of this.""}","{""nsm"": """"},",,,,,,,value,,,,,,,
,10,2,,,Everyone can say things like this.,"  {""ste"": ""If I think something about the government, I can say it. The government can’t do something bad to me because of this.""},{  ""ste"": ""Everyone can say things like this.""}","{""nsm"": """"},{""nsm"": """"},",,,,,,,,,,,,,,
,10,3,,,It is very bad if the government does something bad to people because of this.,"  {""ste"": ""If I think something about the government, I can say it. The government can’t do something bad to me because of this.""},{  ""ste"": ""Everyone can say things like this.""},{  ""ste"": ""It is very bad if the government does something bad to people because of this.""}","{""nsm"": """"},{""nsm"": """"},{""nsm"": """"},",,,,,,,,,,,,,,
,11,1,against preventing someone from doing something that they want to do,,When someone wants to do something other people can’t say: “You can’t do this because I don’t want you to do it.”,"  {""ste"": ""When someone wants to do something other people can’t say: “You can’t do this because I don’t want you to do it.”""}","{""nsm"": ""many people think like this:""},",,{Wierzbicka:2012un p. 132},,,,,value,,,,,,,
,11,2,,,It is bad if someone says something like this.,"  {""ste"": ""When someone wants to do something other people can’t say: “You can’t do this because I don’t want you to do it.”""},{  ""ste"": ""It is bad if someone says something like this.""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone wants to do something, other people can’t say something like this to this someone:""},",,,,,,,,,,,,,,
,11,3,,,,"  {""ste"": ""When someone wants to do something other people can’t say: “You can’t do this because I don’t want you to do it.”""},{  ""ste"": ""It is bad if someone says something like this.""},{  ""ste"": """"}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone wants to do something, other people can’t say something like this to this someone:""},{""nsm"": ""“I don’t want you to do this, because of this you can’t do it”""},",,,,,,,,,,,,,,
,12,1,against taking over what someone else is doing,,When someone,"  {""ste"": ""When someone""}","{""nsm"": ""many people think like this:""},",,{Wierzbicka:2012un p. 131},,,,,attitude_people,,,,,,,
,12,2,,,"is doing something, someone else","  {""ste"": ""When someone""},{  ""ste"": ""is doing something, someone else""}","{""nsm"": ""many people think like this:""},{""nsm"": ""when someone is doing something, someone else can’t say something like this to this someone:""},",,,,,,,,,,,,,,
